variable,n,mean,median,std,cv_percent,min,max
distance_cm,11135,165.351,146.02,66.847,40.428,9.55,309.24
temperature_c,11135,25.752,25.44,2.143,8.322,22.12,31.55
humidity_pct,11135,70.057,71.8,6.156,8.787,0.0,84.6
inclination_deg,11135,69.945,69.96,0.282,0.403,69.04,71.1
mq9_ppm_est,11135,26.189,28.84,10.43,39.824,0.0,40.41
accel_x_ms2,11135,-9.08,-9.08,0.023,0.257,-9.26,-8.74
gyro_x_deg_s,11135,-1.121,-1.1,0.087,7.742,-7.81,0.31
accel_y_ms2,11135,-1.611,-1.6,0.061,3.807,-1.84,-1.48
temperature_bmp_c,11135,25.752,25.44,2.143,8.322,22.12,31.55
pressure_hpa,11135,855.167,855.43,1.681,0.197,850.31,858.37
altitude_est_m,11135,1408.052,1405.55,16.058,1.14,1377.53,1454.58
