indicator,value,scope_or_note
Local records,11135,microSD
Nominal expected records,11160,21-Jul to 28-Jul 18:00 UTC-5
Local temporal completeness (%),99.776,
Remote publications,11148,ThingSpeak
ONLINE publications,7641,68.54% remote
BACKFILL publications,3507,31.46% remote
BACKFILL operational completeness (%),100,6/6 implemented fields
BACKFILL integral completeness (%),75,6/8 ONLINE fields
Exact physical duplicates,0,microSD and ThingSpeak under defined criteria
BACKFILL successful batches,249,
BACKFILL failed attempts,139,attempts may include repeated records
Maximum pending queue,1479,ended at zero
Intervals exactly 60 s (%),96.486,10736/11127
Intervals >90 s,18,maximum 157 s
