YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-26,00:00:53,115.78,25.67,71.00,70.36,30.79,-9.09,-1.10,-1.52,25.67,857.09,1389.72
2026-07-26,00:01:53,115.93,25.66,70.90,70.38,30.81,-9.11,-1.10,-1.51,25.66,857.07,1389.84
2026-07-26,00:02:53,118.99,25.66,71.00,70.21,30.80,-9.10,-1.10,-1.53,25.66,857.05,1390.04
2026-07-26,00:03:53,90.92,25.67,71.00,70.38,30.77,-9.11,-1.10,-1.53,25.67,857.03,1390.25
2026-07-26,00:04:53,129.56,25.66,70.90,70.43,30.86,-9.11,-1.10,-1.53,25.66,857.04,1390.20
2026-07-26,00:05:53,88.20,25.65,70.90,70.49,30.84,-9.10,-1.10,-1.53,25.65,857.01,1390.45
2026-07-26,00:06:53,92.93,25.65,70.90,70.36,30.86,-9.11,-1.10,-1.53,25.65,856.99,1390.68
2026-07-26,00:07:53,121.59,25.65,70.90,70.41,30.79,-9.11,-1.10,-1.50,25.65,856.97,1390.79
2026-07-26,00:08:53,90.47,25.65,70.90,70.34,30.63,-9.11,-1.16,-1.55,25.65,856.96,1390.89
2026-07-26,00:09:53,114.93,25.65,70.90,70.36,30.69,-9.10,-1.10,-1.52,25.65,856.95,1390.99
2026-07-26,00:10:53,85.04,25.64,70.90,70.54,30.73,-9.11,-1.10,-1.53,25.64,856.96,1390.93
2026-07-26,00:11:53,121.44,25.65,70.80,70.36,30.71,-9.09,-1.10,-1.53,25.65,856.91,1391.38
2026-07-26,00:12:53,124.32,25.65,70.80,70.14,30.80,-9.11,-1.10,-1.52,25.65,856.94,1391.09
2026-07-26,00:13:53,124.24,25.64,70.80,70.32,30.77,-9.10,-1.16,-1.53,25.64,856.94,1391.16
2026-07-26,00:14:53,99.37,25.63,70.90,70.48,30.75,-9.11,-1.04,-1.52,25.63,856.93,1391.26
2026-07-26,00:15:53,86.13,25.62,70.90,70.34,30.74,-9.11,-1.10,-1.52,25.62,856.95,1391.07
2026-07-26,00:16:53,91.40,25.63,71.00,70.35,30.77,-9.08,-1.16,-1.51,25.63,856.93,1391.18
2026-07-26,00:17:53,95.64,25.62,71.00,70.50,30.79,-9.09,-1.10,-1.52,25.62,856.92,1391.27
2026-07-26,00:18:53,119.30,25.62,71.00,70.26,30.78,-9.10,-1.16,-1.53,25.62,856.91,1391.40
2026-07-26,00:19:53,102.93,25.62,71.00,70.33,30.75,-9.11,-1.10,-1.51,25.62,856.93,1391.23
2026-07-26,00:20:53,115.14,25.62,71.00,70.35,30.76,-9.10,-1.16,-1.52,25.62,856.91,1391.40
2026-07-26,00:21:53,115.13,25.62,71.00,70.44,30.76,-9.10,-1.16,-1.52,25.62,856.87,1391.80
2026-07-26,00:22:53,133.64,25.61,71.10,70.60,30.73,-9.11,-1.16,-1.51,25.61,856.85,1391.96
2026-07-26,00:23:53,106.58,25.61,71.10,70.59,30.74,-9.10,-1.10,-1.51,25.61,856.83,1392.16
2026-07-26,00:24:53,129.32,25.61,71.10,70.32,30.75,-9.11,-1.10,-1.51,25.61,856.82,1392.30
2026-07-26,00:25:53,90.68,25.60,71.20,70.31,30.76,-9.08,-1.10,-1.52,25.60,856.82,1392.29
2026-07-26,00:26:53,123.71,25.60,71.10,70.43,30.78,-9.11,-1.10,-1.53,25.60,856.82,1392.29
2026-07-26,00:27:53,110.84,25.60,71.20,70.38,30.75,-9.09,-1.04,-1.53,25.60,856.83,1392.19
2026-07-26,00:28:53,75.47,25.60,71.20,70.39,30.79,-9.10,-1.16,-1.53,25.60,856.83,1392.15
2026-07-26,00:29:53,100.52,25.60,71.20,70.26,30.80,-9.10,-1.16,-1.53,25.60,856.83,1392.15
