date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-22","00:57:06",1784699826,"NTP",21,108000351,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996847928;wifi=1;rssi=-42;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","01:57:06",1784703426,"NTP",21,111600362,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996842028;wifi=1;rssi=-39;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","02:57:06",1784707026,"NTP",21,115200360,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996836246;wifi=1;rssi=-43;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","03:57:06",1784710626,"NTP",21,118800363,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996830457;wifi=1;rssi=-43;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","04:57:06",1784714226,"NTP",21,122400361,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144292;sd_ok=1;sd_free=3996824656;wifi=1;rssi=-39;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","05:57:06",1784717826,"NTP",21,126000365,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144292;sd_ok=1;sd_free=3996818850;wifi=1;rssi=-42;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","06:57:06",1784721426,"NTP",21,129600362,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996813034;wifi=1;rssi=-37;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","07:57:07",1784725027,"NTP",21,133200365,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996807222;wifi=1;rssi=-41;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","08:57:07",1784728627,"NTP",21,136800363,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996801404;wifi=1;rssi=-42;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","09:57:07",1784732227,"NTP",21,140400367,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144248;sd_ok=1;sd_free=3996795584;wifi=1;rssi=-54;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","10:57:07",1784735827,"NTP",21,144000367,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144524;sd_ok=1;sd_free=3996789771;wifi=1;rssi=-57;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-11;bulk_size=30;bulk_duration_ms=739;wifi_losses=1;ts_failures=5;log_buffer=0;log_dropped=0"
"2026-07-22","11:36:58",1784738218,"NTP",21,146391518,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-304"
"2026-07-22","11:36:58",1784738218,"NTP",21,146391649,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-304;wifi_status=CONNECTED;wifi_code=3;rssi=-55;pending=1"
"2026-07-22","11:36:58",1784738218,"NTP",21,146391698,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","11:36:58",1784738218,"NTP",21,146391748,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","11:37:54",1784738274,"NTP",21,146447373,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-22","11:37:54",1784738274,"NTP",21,146447458,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=378;duration_ms=1006;heap_before=141604;heap_after=141188;remaining=0;offset=0"
"2026-07-22","11:37:54",1784738274,"NTP",21,146447537,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","11:37:54",1784738274,"NTP",21,146447585,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
