created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2026-07-21T00:00:52-04:00,9961,122.40813,24.89000,74.70000,33.95288,856.89923,1391.51123,9.66318,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:01:52-04:00,9962,98.12373,24.89000,74.70000,27.37381,856.90436,1391.46106,9.67593,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:02:52-04:00,9963,114.96931,24.87000,74.60000,23.92679,856.89960,1391.50867,9.67181,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:03:53-04:00,9964,112.53143,24.86000,74.70000,,856.86829,1391.80725,9.67743,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:04:52-04:00,9965,112.59547,24.85000,74.80000,,856.85236,1391.95776,9.68213,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:05:52-04:00,9966,129.27098,24.84000,74.90000,,856.85132,1391.96838,9.65981,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:06:52-04:00,9967,111.35838,24.83000,74.90000,,856.81482,1392.31458,9.68187,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:07:53-04:00,9968,129.38646,24.82000,75.00000,,856.80737,1392.38586,9.66420,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:08:52-04:00,9969,132.27452,24.82000,75.00000,20.35554,856.79517,1392.50208,9.66078,10.80322,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:09:52-04:00,9970,114.87641,24.82000,75.00000,17.85567,856.81549,1392.30920,9.67713,10.92529,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:10:52-04:00,9971,138.20328,24.82000,75.00000,16.10576,856.79486,1392.50745,9.66451,10.80322,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:11:52-04:00,9972,135.92661,24.81000,75.10000,,856.79626,1392.49414,9.66785,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:12:53-04:00,9973,144.57449,24.80000,75.10000,,856.78015,1392.64746,9.68241,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:13:52-04:00,9974,144.05142,24.80000,75.20000,14.88083,856.79346,1392.52063,9.67416,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:14:52-04:00,9975,137.67590,24.80000,75.20000,,856.78705,1392.58142,9.67042,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:15:53-04:00,9976,138.30618,24.79000,75.30000,14.56437,856.77789,1392.66858,9.66726,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:16:52-04:00,9977,136.44197,24.79000,75.10000,,856.76733,1392.76904,9.66428,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:17:52-04:00,9978,137.86885,24.79000,75.20000,13.80185,856.77576,1392.68713,9.67572,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:18:52-04:00,9979,130.48578,24.78000,75.10000,13.26809,856.76862,1392.75574,9.64785,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:19:52-04:00,9980,131.15033,24.77000,75.10000,21.02645,856.77155,1392.72937,9.66409,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:20:53-04:00,9981,138.37764,24.76000,75.10000,19.35207,856.76404,1392.80066,9.66258,10.80322,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:21:52-04:00,9982,133.35411,24.76000,75.10000,23.90566,856.79272,1392.52588,9.67452,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:22:53-04:00,9983,130.42146,24.75000,75.10000,,856.78564,1392.59460,9.66034,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:23:52-04:00,9984,134.05812,24.75000,75.20000,,856.80096,1392.44666,9.65912,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:24:52-04:00,9985,132.81302,24.74000,75.10000,20.72478,856.78314,1392.61841,9.66889,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:25:52-04:00,9986,121.79930,24.74000,75.00000,22.29593,856.79974,1392.45984,9.68531,10.86426,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:26:52-04:00,9987,131.37758,24.73000,75.00000,19.91948,856.81482,1392.31458,9.67581,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:27:52-04:00,9988,130.87593,24.73000,75.00000,,856.81659,1392.29871,9.65845,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:28:52-04:00,9989,127.43479,24.73000,74.90000,25.05879,856.80768,1392.38318,9.69397,10.74219,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:29:53-04:00,9990,132.01642,24.72000,74.90000,27.64604,856.81763,1392.28809,9.65779,10.62012,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:30:52-04:00,9991,134.93620,24.72000,75.00000,,856.81232,1392.34094,9.67636,10.86426,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:31:52-04:00,9992,137.70306,24.72000,74.90000,,856.80219,1392.43604,9.66912,10.68115,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
2026-07-21T00:32:52-04:00,9993,129.13950,24.72000,74.90000,28.06125,856.78491,1392.59985,9.67025,10.80322,,,,WiFi=OK BMP=1 MQ9=1 IMU=1
